duration_s,cup,fill,spectral_centroid_window_0,spectral_rolloff_window_0,zero_crossing_rate_window_0,rms_energy_window_0,spectral_bandwidth_window_0,spectral_centroid_delta_window_0,rms_energy_delta_window_0,onset_count_window_0,attack_time_window_0,harmonic_ratio_window_0,percussive_ratio_window_0,dominant_frequency_window_0,dominant_frequency_magnitude_window_0,spectral_peaks_count_window_0,spectral_flatness_window_0,sustain_level_window_0,MFCC_0_window_0,MFCC_1_window_0,MFCC_2_window_0,MFCC_3_window_0,MFCC_4_window_0,MFCC_5_window_0,MFCC_6_window_0,MFCC_7_window_0,MFCC_8_window_0,MFCC_9_window_0,MFCC_10_window_0,MFCC_11_window_0,MFCC_12_window_0,spectral_centroid_window_1,spectral_rolloff_window_1,zero_crossing_rate_window_1,rms_energy_window_1,spectral_bandwidth_window_1,spectral_centroid_delta_window_1,rms_energy_delta_window_1,onset_count_window_1,attack_time_window_1,harmonic_ratio_window_1,percussive_ratio_window_1,dominant_frequency_window_1,dominant_frequency_magnitude_window_1,spectral_peaks_count_window_1,spectral_flatness_window_1,sustain_level_window_1,MFCC_0_window_1,MFCC_1_window_1,MFCC_2_window_1,MFCC_3_window_1,MFCC_4_window_1,MFCC_5_window_1,MFCC_6_window_1,MFCC_7_window_1,MFCC_8_window_1,MFCC_9_window_1,MFCC_10_window_1,MFCC_11_window_1,MFCC_12_window_1,spectral_centroid_window_2,spectral_rolloff_window_2,zero_crossing_rate_window_2,rms_energy_window_2,spectral_bandwidth_window_2,spectral_centroid_delta_window_2,rms_energy_delta_window_2,onset_count_window_2,attack_time_window_2,harmonic_ratio_window_2,percussive_ratio_window_2,dominant_frequency_window_2,dominant_frequency_magnitude_window_2,spectral_peaks_count_window_2,spectral_flatness_window_2,sustain_level_window_2,MFCC_0_window_2,MFCC_1_window_2,MFCC_2_window_2,MFCC_3_window_2,MFCC_4_window_2,MFCC_5_window_2,MFCC_6_window_2,MFCC_7_window_2,MFCC_8_window_2,MFCC_9_window_2,MFCC_10_window_2,MFCC_11_window_2,MFCC_12_window_2,spectral_centroid_window_3,spectral_rolloff_window_3,zero_crossing_rate_window_3,rms_energy_window_3,spectral_bandwidth_window_3,spectral_centroid_delta_window_3,rms_energy_delta_window_3,onset_count_window_3,attack_time_window_3,harmonic_ratio_window_3,percussive_ratio_window_3,dominant_frequency_window_3,dominant_frequency_magnitude_window_3,spectral_peaks_count_window_3,spectral_flatness_window_3,sustain_level_window_3,MFCC_0_window_3,MFCC_1_window_3,MFCC_2_window_3,MFCC_3_window_3,MFCC_4_window_3,MFCC_5_window_3,MFCC_6_window_3,MFCC_7_window_3,MFCC_8_window_3,MFCC_9_window_3,MFCC_10_window_3,MFCC_11_window_3,MFCC_12_window_3,spectral_centroid_window_4,spectral_rolloff_window_4,zero_crossing_rate_window_4,rms_energy_window_4,spectral_bandwidth_window_4,spectral_centroid_delta_window_4,rms_energy_delta_window_4,onset_count_window_4,attack_time_window_4,harmonic_ratio_window_4,percussive_ratio_window_4,dominant_frequency_window_4,dominant_frequency_magnitude_window_4,spectral_peaks_count_window_4,spectral_flatness_window_4,sustain_level_window_4,MFCC_0_window_4,MFCC_1_window_4,MFCC_2_window_4,MFCC_3_window_4,MFCC_4_window_4,MFCC_5_window_4,MFCC_6_window_4,MFCC_7_window_4,MFCC_8_window_4,MFCC_9_window_4,MFCC_10_window_4,MFCC_11_window_4,MFCC_12_window_4
16.7467,1,100,3459.786997,7051.785714,0.075720796,0.09315189,3660.766126,0,0,48,0.0034375,0.511677384,0.567431271,867.1875,14.86443806,8,0.01028236,0.485137582,-208.0293579,144.2689209,-45.76284027,19.59505272,-32.26490402,-13.84140205,-42.86888504,16.47372627,-25.07529259,21.10912704,-3.080113888,-0.560518205,8.377993584,3072.608523,6062.64881,0.060199653,0.096496433,3436.840368,-387.178474,0.003344543,57,0.002208333,0.528258383,0.568008602,960.9375,16.72606087,24,0.0003855,0.550732672,-176.8735352,162.240509,-57.12439346,14.21409702,-37.10071182,-9.972257614,-33.24471664,25.42860603,-21.15574074,11.41539288,-23.21431923,-14.46235752,3.775992155,2946.843441,5585.267857,0.060968502,0.084478654,3334.651136,-125.7650815,-0.012017779,46,0.002520833,0.461758763,0.618910491,1101.5625,14.7979908,33,0.000428779,0.311799467,-191.3772278,166.6546783,-58.72566986,-1.851591229,-35.32009506,2.206325054,-20.68661118,31.40712357,-21.63305664,7.367068291,-19.58453369,-14.73770809,4.820910931,3204.249996,6392.113095,0.061025856,0.063413374,3572.383592,257.406555,-0.02106528,53,0.000854167,0.431645125,0.67637974,257.8125,9.937643051,12,0.000624746,0.345706969,-211.9309998,164.7571106,-59.7969017,4.905403137,-31.33228493,19.55266953,-22.45135117,28.14574432,-24.70407104,8.482748985,-18.98552704,-10.5615387,4.356093407,3268.67554,6594.047619,0.060283358,0.054625805,3637.437293,64.42554327,-0.008787569,49,0.002833333,0.496287823,0.646253586,257.8125,12.62443829,35,0.000612044,0.401922554,-221.7875214,164.1913757,-56.50421524,7.515494823,-20.89236069,29.14237976,-28.24245071,21.16502762,-18.79909515,10.85167217,-23.10710335,-7.909667969,8.156329155
17.088,1,100,3580.943353,7466.632593,0.070329232,0.117524669,3814.093778,0,0,52,0.00525,0.538869262,0.537006974,867.1875,19.8557682,25,0.009899866,0.644679725,-192.6723022,145.2280273,-42.39380646,18.8304348,-33.19036484,-4.22615099,-46.47078705,20.88587952,-25.74044991,19.50337982,-4.004096508,-5.468045235,11.80173492,3031.325355,6016.501168,0.060085974,0.122855067,3465.98978,-549.6179988,0.005330399,54,0.002020833,0.518725097,0.569351792,960.9375,21.67393684,23,0.000334398,0.432531983,-156.4845276,161.2854309,-53.00502396,4.63161993,-36.46986771,-8.005966187,-29.52054214,21.12083435,-20.73608398,14.50863647,-21.91836739,-18.45976257,3.94425869,3040.893439,5961.229556,0.060466255,0.091037847,3483.511972,9.568084436,-0.03181722,49,0.001916667,0.465340376,0.617838562,1078.125,15.61151028,13,0.000505496,0.35032028,-181.4021149,164.745224,-55.16911316,-2.598758459,-34.17774582,3.468105078,-19.65876198,31.73039627,-25.33175468,6.42305994,-17.54191399,-16.87993431,1.696987629,3067.933002,5990.216121,0.058140455,0.061867941,3506.764533,27.03956284,-0.029169906,51,0.0054375,0.457380027,0.652925968,257.8125,10.57832623,13,0.000479206,0.430640489,-219.5442505,172.9247284,-61.15733337,1.0040766,-29.6583271,23.62033081,-24.3289032,27.98104668,-26.92514229,9.628412247,-15.87139797,-12.40855408,2.35915947,3201.006118,6366.45736,0.054480627,0.046430822,3612.113898,133.0731162,-0.015437119,55,0.0058125,0.57929641,0.593928158,257.8125,13.76537895,14,0.000477228,0.435052067,-244.6608429,172.7705231,-59.26085663,10.49885178,-22.28702927,34.39192581,-29.78887367,28.26315498,-18.63981628,14.35634041,-20.58877563,-6.802293301,7.028803825
11.9467,1,100,2490.795251,4517.8125,0.058617622,0.147295713,2771.074477,0,0,35,0.002375,0.529035866,0.534279108,867.1875,22.95060539,25,0.013546193,0.5361287,-167.0328522,174.7451324,-63.17609024,8.082824707,-23.50189018,-23.4213047,-42.34289169,15.72916031,-23.39586449,14.73937511,-3.984835625,-9.1918993,8.246788025,2398.294871,4158.229167,0.056744792,0.087722786,2672.834486,-92.50038022,-0.059572928,31,0.004291667,0.518345058,0.582756042,937.5,13.95567894,32,0.000211012,0.3966057,-206.3229218,187.8030396,-64.66407776,5.060910702,-16.75666046,-14.21048164,-37.64384079,33.67326355,-13.80218315,4.22006464,-11.61627865,-22.3804245,0.419417262,2277.229744,3690.625,0.054882813,0.075706355,2543.645038,-121.0651274,-0.01201643,34,0.000145833,0.495321929,0.610192835,1125,11.86114979,32,0.000135022,0.448098034,-220.107605,187.6940918,-68.00376892,-4.113317966,-21.33381653,1.885751367,-21.43974876,33.07806015,-6.020619392,4.058175087,-10.73126507,-13.75692081,5.059218884,2439.80572,4009.791667,0.056675347,0.070406742,2675.373703,162.575976,-0.005299613,35,0.0005,0.510080159,0.617753088,281.25,13.33322716,13,0.000229149,0.430061102,-213.0989532,182.4852753,-72.28996277,-4.589048862,-16.63594627,17.96269608,-17.98192406,24.23169518,-11.55936241,8.835683823,-13.39829254,-11.51531219,11.3117094,2536.293525,4002.604167,0.057426215,0.058134682,2704.024462,96.48780486,-0.01227206,35,0.000479167,0.537002325,0.621939838,281.25,14.03445053,32,0.000229615,0.41287607,-229.9351807,182.4441986,-75.85102081,5.590779781,-8.247048378,23.25802803,-23.98366356,18.77513885,-10.18193436,9.533196449,-12.68962574,-8.248936653,5.771030903
14.656,1,100,3544.229087,6820.056818,0.077943892,0.125706822,3549.483203,0,0,41,0.002916667,0.502248168,0.581493676,703.125,20.97673607,24,0.011450025,0.529190719,-173.617981,140.5013123,-54.15305328,29.97343445,-32.45671844,-11.49873734,-48.1394043,17.47066498,-26.09786987,19.31074524,-2.38795495,-5.709302425,11.03541279,2995.62377,5684.232955,0.06118608,0.117656305,3344.397187,-548.6053167,-0.008050516,44,0.004291667,0.553154469,0.545024872,984.375,26.48331261,24,0.000332308,0.416220069,-160.1563873,159.098465,-55.20392227,9.836880684,-34.59103012,-15.84130287,-35.09315491,22.94041252,-18.95170403,11.16128063,-19.41211319,-17.7982502,2.281593084,3356.85552,6903.664773,0.067998935,0.087050147,3671.226864,361.23175,-0.030606158,44,0.001104167,0.464778215,0.623178005,1078.125,12.76675797,31,0.00067755,0.456582695,-180.9214783,154.8358307,-57.52943039,0.91872561,-42.71339035,8.332722664,-26.99446106,31.61559677,-20.78975296,8.208451271,-16.02042389,-15.59468746,2.919516325,3511.883924,7293.664773,0.069625355,0.053245552,3852.816781,155.0284035,-0.033804595,45,0.002770833,0.48720023,0.640753806,281.25,9.59125042,12,0.000636367,0.442936748,-222.6697083,162.4100342,-66.23226929,8.568113327,-34.04174805,29.43676186,-29.12450981,35.97114182,-27.59337425,11.10692406,-17.06477928,-10.24717236,2.964240074,3652.946801,7896.221591,0.066724077,0.050116021,4015.999557,141.0628774,-0.003129531,39,0.004520833,0.511692762,0.651140153,281.25,12.31544209,13,0.000651789,0.475869477,-226.286911,154.6110535,-57.91514969,8.726409912,-25.12615013,36.51733017,-31.96990776,28.79097176,-21.11658287,10.07364559,-19.43901253,-6.292762756,5.569509029
14.6987,1,100,3835.606346,7868.970788,0.079124561,0.098236993,3923.028832,0,0,50,0.002583333,0.469427258,0.606851816,726.5625,18.04881668,24,0.011667001,0.461963385,-205.7540283,136.1119232,-41.59406281,14.51089096,-34.96784973,-6.54421854,-48.37275696,11.14053059,-25.72557259,21.17352486,-2.871554613,-4.610607147,9.998888969,3039.98009,6271.22962,0.058277075,0.102774166,3524.988345,-795.6262555,0.004537173,51,0.002708333,0.554601848,0.548303843,984.375,18.05133247,23,0.000431843,0.49323532,-174.8018036,163.8163452,-49.31356049,13.16086769,-46.70204926,-1.870274663,-35.34589005,20.40203285,-23.84593773,12.83324814,-15.20579147,-22.74598122,1.622269392,3073.022679,6284.137228,0.060254968,0.092250213,3566.02548,33.04258882,-0.010523953,44,6.25E-05,0.469488889,0.619515777,1101.5625,16.42723846,13,0.000400509,0.484799892,-183.056076,165.264801,-54.15906525,10.51164341,-52.77299881,7.389647484,-21.82315636,31.68368912,-20.71521378,7.629801273,-16.93781471,-10.52788162,-3.810667992,3401.823818,7033.372962,0.066013502,0.068500713,3774.369814,328.8011383,-0.023749501,47,0.004291667,0.446514487,0.659865141,281.25,10.66392326,12,0.000613812,0.39445135,-203.2789917,161.0826721,-56.19672012,5.073422432,-38.65797424,23.27634239,-18.18123245,31.38460922,-26.51703262,9.684686661,-15.05442238,-5.100252628,2.438041687,3573.677508,7428.243886,0.066913992,0.060304973,3823.297748,171.8536903,-0.008195739,48,0.004270833,0.442455709,0.692993939,281.25,11.50700569,13,0.000748992,0.332142591,-209.456955,154.5769653,-58.57798386,6.329195499,-24.63648796,25.81258583,-20.12901688,27.63877487,-27.23824883,16.61708069,-16.01456451,-12.05014038,8.08561039
14.4427,1,100,3677.295839,7359.54797,0.080361004,0.088889778,3758.083751,0,0,36,0.0025625,0.484847903,0.593207121,679.6875,15.82576847,24,0.011847717,0.524061859,-205.7349091,133.4732819,-51.08340073,18.08642578,-35.70124817,-10.7725811,-50.8223877,9.726798058,-25.51837158,18.37151146,-2.55043602,-2.465822935,5.493623257,3164.337984,6463.041974,0.060069404,0.104023859,3523.698701,-512.9578551,0.015134081,39,0.0011875,0.511924803,0.577276647,960.9375,19.55369186,23,0.000476044,0.471159816,-176.6830597,157.0418854,-52.88859177,14.61352921,-47.67227173,-6.451777935,-38.89080429,15.61529541,-16.72198486,10.59984684,-23.119133,-15.7812748,2.75839591,3418.261336,7064.546817,0.065631486,0.067929044,3668.649667,253.9233516,-0.036094815,40,0.002083333,0.456592888,0.636536956,1101.5625,11.19668198,12,0.000698901,0.296937853,-201.5723267,149.2970734,-53.57053757,6.889677048,-40.17279053,2.854651928,-21.87838364,29.87300873,-17.84206772,7.461868763,-17.55809212,-18.18805122,3.076701164,3461.012098,7077.433118,0.063750432,0.051461026,3780.381498,42.75076259,-0.016468018,38,0.0029375,0.456605941,0.672241986,281.25,9.103741646,33,0.000835215,0.420021206,-231.2532806,160.0137329,-57.55315399,4.514827251,-32.27577591,25.15469551,-29.49090767,31.91864204,-21.32287788,5.455186844,-14.41148567,-11.5092659,3.916016102,3548.055354,7305.581181,0.065539596,0.049755063,3815.123157,87.04325607,-0.001705963,41,0.003979167,0.494140148,0.655411243,281.25,11.18929005,14,0.000783311,0.344681114,-226.2404785,152.8838196,-54.88684464,0.693068624,-16.60671997,29.46760559,-29.10409355,23.27698326,-16.33475876,8.927144051,-17.90706444,-9.366828918,5.562009335
16.2347,1,100,3521.207835,6920.517418,0.072643443,0.085337274,3660.282433,0,0,54,0.003875,0.509983599,0.572502732,750,14.17707348,7,0.010526665,0.469086736,-215.5840607,141.4008179,-45.73205566,19.32485962,-33.12548447,-11.12099838,-45.49032593,13.47847557,-22.96305656,21.50933838,-4.740201473,-3.731970787,9.506851196,2788.930087,5416.367828,0.058004611,0.106306136,3228.488725,-732.2777475,0.020968862,55,0.0024375,0.501752675,0.583270371,960.9375,19.83959961,23,0.000295194,0.421104133,-178.7053375,163.1868286,-52.0737648,5.98577404,-39.96996307,-13.59675694,-28.91456223,12.55672359,-17.19317627,13.36190987,-22.13007164,-15.52938938,3.720070362,2891.562639,5595.722336,0.060825435,0.082227536,3341.176818,102.6325516,-0.0240786,53,0.001041667,0.469814062,0.613329232,1078.125,13.78443146,32,0.000358097,0.31561622,-197.2942963,166.8430634,-54.17957306,0.257046968,-39.32645416,-4.912218094,-21.21186638,25.97856522,-22.91516304,10.25939465,-18.56388855,-16.60364914,1.38187921,3166.120819,6236.680328,0.063934426,0.071103945,3557.954731,274.5581798,-0.01112359,48,0.004583333,0.386174947,0.716296017,281.25,8.743044853,13,0.000507729,0.415341377,-211.1667938,165.683197,-54.03725815,-9.555009842,-32.53153992,21.98517799,-20.86985397,22.3228817,-26.87044716,11.23983574,-15.81814766,-14.8427496,7.767438889,3300.286956,6680.071721,0.066419057,0.061125807,3579.133013,134.1661373,-0.009978138,50,0.00275,0.42963919,0.680894971,281.25,10.02864647,12,0.000551052,0.468780309,-213.6659393,166.2458801,-62.06118774,2.731514931,-30.38057709,38.66559219,-31.01577187,15.80219173,-18.92738533,16.37564278,-18.86015129,-13.72397995,10.92499924
14.976,1,100,3783.078835,7684.664146,0.074880797,0.120639749,3856.727053,0,0,47,0.005541667,0.527750194,0.555366278,750,21.00468063,26,0.01133445,0.635874271,-192.4270172,136.4952698,-41.94648743,19.55885124,-34.54977798,-2.029708385,-45.45708847,16.93600655,-20.93441582,22.50928879,-3.699707985,-3.077173233,13.70095158,2886.846884,5787.310943,0.055551115,0.117106698,3434.189907,-896.2319511,-0.00353305,47,0.004583333,0.522227883,0.561576664,1031.25,20.11789513,4,0.000401002,0.441020727,-161.3575439,163.22612,-42.54908752,7.932710171,-45.1007576,-4.409453392,-30.14886093,15.86701393,-21.47944641,9.590249062,-15.13766193,-18.79716301,1.365190506,3115.73985,6438.973532,0.058098518,0.082273901,3563.543413,228.8929659,-0.034832798,45,0.000958333,0.497683048,0.6026631,1054.6875,13.21738815,12,0.00056565,0.347390234,-187.4427338,160.2979431,-46.47634888,13.73258305,-47.87202072,4.92237711,-15.0635891,27.21872711,-17.35928345,5.486085415,-17.44548416,-14.72775078,-0.647475183,2998.228039,5897.3254,0.059417399,0.075740963,3310.122497,-117.5118107,-0.006532937,44,0.004375,0.440896511,0.665293813,257.8125,12.07058907,12,0.000439163,0.353427142,-198.3183289,170.2457733,-60.86428833,13.94934654,-42.93924713,15.58697701,-11.36536312,26.74477577,-24.71051788,6.501642704,-13.44224167,-10.30323124,3.579507589,3035.630453,5810.498221,0.058350478,0.060262278,3281.309738,37.40241342,-0.015478685,47,0.002083333,0.500575066,0.648594618,257.8125,14.24022293,12,0.000501142,0.393232822,-215.6819458,169.4373932,-64.03601074,18.01813698,-23.22268486,18.133461,-14.60603142,25.1514473,-27.90353203,14.18777275,-11.97328854,-11.76700974,8.077581406
16.576,1,100,3612.927973,7060.264268,0.07853792,0.07107088,3627.850638,0,0,56,0.002520833,0.470348835,0.604902565,867.1875,11.73067474,31,0.010345678,0.371337354,-230.9958496,136.1979675,-48.40530014,21.28641891,-31.64728546,-14.99182606,-44.38688278,15.05851173,-23.48216629,18.10537148,-3.060117245,-2.393559217,7.238463402,3055.03065,5990.202974,0.060300379,0.096516371,3389.196606,-557.8973226,0.025445491,50,0.005916667,0.522211134,0.57404989,960.9375,18.24773026,32,0.000426822,0.446246028,-176.9191895,156.2031555,-51.4081955,10.20555496,-32.9300499,-9.728068352,-30.42500877,22.91265297,-14.09790611,8.43230629,-18.09159851,-17.62611389,1.409299374,3178.803803,6191.870981,0.062982001,0.074224606,3448.207211,123.7731531,-0.022291765,55,0.003583333,0.477491498,0.631226122,1101.5625,11.87740135,32,0.000489842,0.358659148,-199.9667969,162.0882721,-59.04708862,2.367070436,-30.67736435,6.70134449,-25.20619774,37.14225006,-19.65411758,4.733199596,-14.22099972,-18.92331505,3.258432388,3070.143462,5730.807878,0.062339856,0.063561067,3439.789918,-108.6603412,-0.010663539,45,0.002458333,0.452879518,0.669669926,257.8125,11.45077515,32,0.000479768,0.425385565,-212.7369843,170.5870667,-64.58996582,0.707325757,-22.70512199,26.49388313,-29.89628983,29.5263958,-20.04989815,4.881275654,-18.49935722,-11.12459183,3.28251338,3300.016388,6510.500402,0.059367778,0.056632817,3628.952248,229.8729266,-0.00692825,48,0.0023125,0.512354612,0.650777996,257.8125,14.36721897,34,0.000559073,0.406238884,-219.3306885,162.2970581,-58.78134918,11.75917149,-21.21496391,30.35542107,-29.44545746,26.18485641,-16.29770088,9.326153755,-19.06722069,-7.583015442,4.158003807
12.224,1,100,2531.925928,4698.097826,0.052375594,0.15836674,3099.009465,0,0,35,0.001083333,0.534935892,0.538442969,867.1875,29.13187981,26,0.013235975,0.585534692,-160.7800598,179.9095764,-55.16744995,-1.594461799,-29.47533989,-15.1934967,-46.52183914,21.68022919,-24.5266571,16.64723778,-6.248810768,-12.13776875,11.11877346,2256.211122,3863.620924,0.050522249,0.101720832,2701.416948,-275.7148059,-0.056645907,37,0.000666667,0.529800296,0.563728809,1007.8125,18.30861473,31,0.000197109,0.391150117,-192.902298,187.053299,-56.37171936,-1.316250801,-24.57590103,-15.03313065,-27.43531418,28.17876434,-16.05104256,6.470910072,-14.66298008,-21.76916695,3.8521595,2439.093168,4077.309783,0.057804008,0.078166448,2797.919249,182.8820453,-0.023554385,32,0.003583333,0.484257609,0.617444992,281.25,11.77553177,31,0.000228301,0.469796866,-211.0042267,186.6302338,-69.55025482,-2.182745934,-25.86927986,-0.692001998,-21.88113022,35.60155106,-21.3932476,9.754241943,-10.10899258,-17.35005188,8.673658371,2589.25669,4457.201087,0.057774287,0.073428899,2889.530923,150.1635224,-0.004737549,38,4.17E-05,0.476805925,0.652706802,281.25,13.88354206,12,0.000240244,0.427241892,-206.6320648,180.4438171,-72.37841034,-3.953768969,-19.74768257,13.26768208,-16.4866333,26.08445549,-26.77653122,13.02752876,-9.188448906,-15.0680027,11.47063541,2650.599013,4438.756793,0.058088485,0.054657962,2954.104715,61.34232293,-0.018770937,32,0.0030625,0.56355238,0.605857491,257.8125,14.66247177,13,0.00031196,0.414129704,-237.4069519,181.4891968,-71.38252258,-1.518054843,-1.473317385,15.99055099,-24.83386612,31.46040726,-23.02305794,16.39029884,-5.544012547,-12.59357071,8.005906105
